# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Aug 04 12:51:57 EDT 2022 [seed=1659631885902]
state	Collection.rates.BU.CA	Collection.rates.BU.CT	Collection.rates.BU.FL	Collection.rates.BU.MA	Collection.rates.BU.MI	Collection.rates.BU.RI	Collection.rates.CA.CT	Collection.rates.CA.FL	Collection.rates.CA.MA	Collection.rates.CA.MI	Collection.rates.CA.RI	Collection.rates.CT.FL	Collection.rates.CT.MA	Collection.rates.CT.MI	Collection.rates.CT.RI	Collection.rates.FL.MA	Collection.rates.FL.MI	Collection.rates.FL.RI	Collection.rates.MA.MI	Collection.rates.MA.RI	Collection.rates.MI.RI
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1000	0.36648157307835066	0.559104817063339	0.8553037568696906	9.916790168886132	0.7889846924527105	0.895609429589681	0.6708977993713051	0.9523865815325361	1.0718453677356927	2.6739046852133583	0.5511767087006729	1.1771282759749622	4.093914386717935	0.932328947202449	1.085614139736205	1.0483935747642241	1.0354907479405466	0.7889404877202592	0.959454840904322	1.6355962200689695	0.5292483454577959
2000	0.914736888974356	1.5778312292092984	0.8740586165122343	3.3547921352941685	0.4955928993309018	0.6941379535753276	0.15985452683293994	1.2260543655216247	0.06639497837020551	0.6328707785156346	0.42047534452248764	1.0133819718461141	1.0440357285022606	0.37897537878984155	1.5721258530803637	1.626338982920647	1.3949278725663328	0.4633646807148004	1.0387835266236114	2.295148933462746	0.9324599156265411
3000	1.225005885753881	0.34256239453597254	1.8529816857996875	2.6976914618611483	0.8669104471887985	0.2877154575945678	0.11282542386104043	0.6856269971971736	0.07319743136670034	1.1777689608151565	0.08570684090068173	0.1434327685685186	2.5318487555861267	0.40321841765937266	0.6178207659282172	0.3713365523560714	0.7871828462556913	0.7374646051885949	1.5949859618138493	1.8181134974186457	2.97763401184157
4000	0.7780783086796744	0.4944951650554576	0.48780436872118527	3.6273358999820875	1.9461050295354685	0.6927244563999377	0.493404539330784	0.88541892362327	0.03583732815253136	0.5117532100417402	0.2921102095739609	0.08329304351989607	1.7522998662549945	0.44064377767579355	0.3730583581617223	0.9604666081052867	0.9583656913345852	0.7841789883566717	0.29606199353082857	1.275877227258109	1.015951942912666
5000	0.8352348299882334	1.31417215097672	2.0204936647194933	3.4415314317871615	1.1383914767861563	0.08215248860628717	0.943346657426927	0.6948965341995264	0.10294030252802029	0.9129591793380817	1.1633007252637346	0.27479675507778	3.3615858771197518	1.144409918523019	1.1363664601265722	0.7133012464249406	2.4070652187422317	0.43770839928865135	0.7881525727847213	3.2388091450583483	0.36398526019313754
6000	0.20466003841088956	1.2271367164798017	1.1392167246634501	2.78175593520259	0.6307471254639043	1.1365686202739895	1.278039735432519	1.0070297121245428	0.45073527736065905	0.5881327714879652	1.5378286527129261	0.2608620292242139	1.4412213916195116	0.12116606764525562	0.6317943874379301	2.253610271120813	1.2595473275943516	0.188569194042642	0.9460519883623091	1.0923417345972157	0.263960624108752
7000	0.31400361199345544	3.485410979909569	1.5212866788874886	1.3397198942449458	1.780301449899606	0.7262163664210287	0.34963930883232536	1.335125443703941	2.891617413498267	0.4554075790501165	0.6266454444016482	0.3520789327656502	0.3767726080295337	0.4166496357342327	0.37969460329701743	0.6815148258628517	1.0893323727738131	0.09026345878541234	0.38565322846697103	3.6908485958400448	0.3253103051925925
8000	0.11447472985882612	3.3438001707175276	1.4789701419371408	3.3662667435721976	0.3169952636171082	0.2497118078306201	0.7981472333066764	0.2906922882961734	1.80062190679531	0.31640121254767567	0.38515380064816196	0.22151109547892422	1.120526984156018	0.24122898657058206	0.6220594194450045	0.41759821841637335	0.43734465899841635	1.1441346064960987	0.12104828772394977	2.880044693677975	0.3723415282715236
9000	0.48539118821959254	2.0415002804031808	0.657249113037865	2.6109598869081148	0.2059229758973894	0.3510432851366178	0.49551917594270867	0.7857372080588025	2.4090395829993763	0.6768766733992339	0.15735081556708144	0.7740695985587894	0.2573354365783082	0.6178382544911983	0.3836639693156087	0.7072992893537136	0.6350901674120843	0.9768918996817558	0.416433539959612	2.9751880828811026	0.7255201759396647
